DS,Y
2023-07-26 16:05:00,1831.0
2023-07-26 16:10:00,1979.0
2023-07-26 16:15:00,1646.0
2023-07-26 16:20:00,1746.0
2023-07-26 16:25:00,1824.0
2023-07-26 16:30:00,1530.0
2023-07-26 16:35:00,1664.0
2023-07-26 16:40:00,1530.0
2023-07-26 16:45:00,1246.0
2023-07-26 16:50:00,1382.0
2023-07-26 16:55:00,1326.0
2023-07-26 17:00:00,1452.0
2023-07-26 17:05:00,1416.0
2023-07-26 17:10:00,1298.0
2023-07-26 17:15:00,1476.0
2023-07-26 17:20:00,1506.0
2023-07-26 17:25:00,1650.0
2023-07-26 17:30:00,1592.0
2023-07-26 17:35:00,1486.0
2023-07-26 17:40:00,1554.0
2023-07-26 17:45:00,1302.0
2023-07-26 17:50:00,1178.0
2023-07-26 17:55:00,1358.0
2023-07-26 18:00:00,1324.0
2023-07-26 18:05:00,1132.0
2023-07-26 18:10:00,1482.0
2023-07-26 18:15:00,1472.0
2023-07-26 18:20:00,1328.0
2023-07-26 18:25:00,1574.0
2023-07-26 18:30:00,1194.0
2023-07-26 18:35:00,1240.0
2023-07-26 18:40:00,1576.0
2023-07-26 18:45:00,1306.0
2023-07-26 18:50:00,1732.0
2023-07-26 18:55:00,1742.0
2023-07-26 19:00:00,1256.0
2023-07-26 19:05:00,1426.0
2023-07-26 19:10:00,1316.0
2023-07-26 19:15:00,1242.0
2023-07-26 19:20:00,1616.0
2023-07-26 19:25:00,1606.0
2023-07-26 19:30:00,1204.0
2023-07-26 19:35:00,1054.0
2023-07-26 19:40:00,1268.0
2023-07-26 19:45:00,1068.0
2023-07-26 19:50:00,1284.0
2023-07-26 19:55:00,1322.0
2023-07-26 20:00:00,1144.0
2023-07-26 20:05:00,1028.0
2023-07-26 20:10:00,1358.0
2023-07-26 20:15:00,1160.0
2023-07-26 20:20:00,1222.0
2023-07-26 20:25:00,1402.0
2023-07-26 20:30:00,1248.0
2023-07-26 20:35:00,1106.0
2023-07-26 20:40:00,1060.0
2023-07-26 20:45:00,1178.0
2023-07-26 20:50:00,1142.0
2023-07-26 20:55:00,1120.0
2023-07-26 21:00:00,1208.0
2023-07-26 21:05:00,1172.0
2023-07-26 21:10:00,1241.0
2023-07-26 21:15:00,1068.0
2023-07-26 21:20:00,1166.0
2023-07-26 21:25:00,1200.0
2023-07-26 21:30:00,880.0
2023-07-26 21:35:00,936.0
2023-07-26 21:40:00,950.0
2023-07-26 21:45:00,926.0
2023-07-26 21:50:00,790.0
2023-07-26 21:55:00,854.0
2023-07-26 22:00:00,770.0
2023-07-26 22:05:00,1000.0
2023-07-26 22:10:00,966.0
2023-07-26 22:15:00,772.0
2023-07-26 22:20:00,848.0
2023-07-26 22:25:00,994.0
2023-07-26 22:30:00,814.0
2023-07-26 22:35:00,856.0
2023-07-26 22:40:00,1162.0
2023-07-26 22:45:00,812.0
2023-07-26 22:50:00,733.0
2023-07-26 22:55:00,932.0
2023-07-26 23:00:00,892.0
2023-07-26 23:05:00,760.0
2023-07-26 23:10:00,1028.0
2023-07-26 23:15:00,642.0
2023-07-26 23:20:00,627.0
2023-07-26 23:25:00,886.0
2023-07-26 23:30:00,774.0
2023-07-26 23:35:00,746.0
2023-07-26 23:40:00,910.0
2023-07-26 23:45:00,748.0
2023-07-26 23:50:00,802.0
2023-07-26 23:55:00,840.0
2023-07-27 00:00:00,784.0
2023-07-27 00:05:00,734.0
2023-07-27 00:10:00,954.0
2023-07-27 00:15:00,664.0
2023-07-27 00:20:00,842.0
2023-07-27 00:25:00,908.0
2023-07-27 00:30:00,866.0
2023-07-27 00:35:00,680.0
2023-07-27 00:40:00,968.0
2023-07-27 00:45:00,984.0
2023-07-27 00:50:00,996.0
2023-07-27 00:55:00,730.0
2023-07-27 01:00:00,704.0
2023-07-27 01:05:00,570.0
2023-07-27 01:10:00,650.0
2023-07-27 01:15:00,552.0
2023-07-27 01:20:00,592.0
2023-07-27 01:25:00,680.0
2023-07-27 01:30:00,564.0
2023-07-27 01:35:00,524.0
2023-07-27 01:40:00,600.0
2023-07-27 01:45:00,610.0
2023-07-27 01:50:00,778.0
2023-07-27 01:55:00,716.0
2023-07-27 02:00:00,490.0
2023-07-27 02:05:00,546.0
2023-07-27 02:10:00,726.0
2023-07-27 02:15:00,586.0
2023-07-27 02:20:00,568.0
2023-07-27 02:25:00,784.0
2023-07-27 02:30:00,530.0
2023-07-27 02:35:00,548.0
2023-07-27 02:40:00,710.0
2023-07-27 02:45:00,468.0
2023-07-27 02:50:00,532.0
2023-07-27 02:55:00,512.0
2023-07-27 03:00:00,380.0
2023-07-27 03:05:00,462.0
2023-07-27 03:10:00,661.0
2023-07-27 03:15:00,498.0
2023-07-27 03:20:00,474.0
2023-07-27 03:25:00,480.0
2023-07-27 03:30:00,462.0
2023-07-27 03:35:00,492.0
2023-07-27 03:40:00,632.0
2023-07-27 03:45:00,486.0
2023-07-27 03:50:00,440.0
2023-07-27 03:55:00,719.0
2023-07-27 04:00:00,470.0
2023-07-27 04:05:00,474.0
2023-07-27 04:10:00,636.0
2023-07-27 04:15:00,466.0
2023-07-27 04:20:00,538.0
2023-07-27 04:25:00,620.0
2023-07-27 04:30:00,370.0
2023-07-27 04:35:00,390.0
2023-07-27 04:40:00,516.0
2023-07-27 04:45:00,348.0
2023-07-27 04:50:00,538.0
2023-07-27 04:55:00,640.0
2023-07-27 05:00:00,426.0
2023-07-27 05:05:00,460.0
2023-07-27 05:10:00,548.0
2023-07-27 05:15:00,306.0
2023-07-27 05:20:00,382.0
2023-07-27 05:25:00,530.0
2023-07-27 05:30:00,430.0
2023-07-27 05:35:00,402.0
2023-07-27 05:40:00,430.0
2023-07-27 05:45:00,390.0
2023-07-27 05:50:00,310.0
2023-07-27 05:55:00,436.0
2023-07-27 06:00:00,422.0
2023-07-27 06:05:00,338.0
2023-07-27 06:10:00,530.0
2023-07-27 06:15:00,316.0
2023-07-27 06:20:00,386.0
2023-07-27 06:25:00,490.0
2023-07-27 06:30:00,300.0
2023-07-27 06:35:00,342.0
2023-07-27 06:40:00,458.0
2023-07-27 06:45:00,268.0
2023-07-27 06:50:00,288.0
2023-07-27 06:55:00,382.0
2023-07-27 07:00:00,278.0
2023-07-27 07:05:00,346.0
2023-07-27 07:10:00,430.0
2023-07-27 07:15:00,228.0
2023-07-27 07:20:00,260.0
2023-07-27 07:25:00,394.0
2023-07-27 07:30:00,300.0
2023-07-27 07:35:00,236.0
2023-07-27 07:40:00,422.0
2023-07-27 07:45:00,290.0
2023-07-27 07:50:00,280.0
2023-07-27 07:55:00,452.0
2023-07-27 08:00:00,222.0
2023-07-27 08:05:00,448.0
2023-07-27 08:10:00,460.0
2023-07-27 08:15:00,212.0
2023-07-27 08:20:00,286.0
2023-07-27 08:25:00,380.0
2023-07-27 08:30:00,332.0
2023-07-27 08:35:00,358.0
2023-07-27 08:40:00,434.0
2023-07-27 08:45:00,212.0
2023-07-27 08:50:00,328.0
2023-07-27 08:55:00,396.0
2023-07-27 09:00:00,292.0
2023-07-27 09:05:00,303.0
2023-07-27 09:10:00,414.0
2023-07-27 09:15:00,256.0
2023-07-27 09:20:00,280.0
2023-07-27 09:25:00,360.0
2023-07-27 09:30:00,400.0
2023-07-27 09:35:00,313.0
2023-07-27 09:40:00,458.0
2023-07-27 09:45:00,266.0
2023-07-27 09:50:00,288.0
2023-07-27 09:55:00,434.0
2023-07-27 10:00:00,306.0
2023-07-27 10:05:00,392.0
2023-07-27 10:10:00,548.0
2023-07-27 10:15:00,292.0
2023-07-27 10:20:00,352.0
2023-07-27 10:25:00,512.0
2023-07-27 10:30:00,256.0
2023-07-27 10:35:00,356.0
2023-07-27 10:40:00,510.0
2023-07-27 10:45:00,338.0
2023-07-27 10:50:00,503.0
2023-07-27 10:55:00,628.0
2023-07-27 11:00:00,478.0
2023-07-27 11:05:00,688.0
2023-07-27 11:10:00,690.0
2023-07-27 11:15:00,782.0
2023-07-27 11:20:00,600.0
2023-07-27 11:25:00,756.0
2023-07-27 11:30:00,708.0
2023-07-27 11:35:00,658.0
2023-07-27 11:40:00,680.0
2023-07-27 11:45:00,628.0
2023-07-27 11:50:00,672.0
2023-07-27 11:55:00,834.0
2023-07-27 12:00:00,732.0
2023-07-27 12:05:00,794.0
2023-07-27 12:10:00,940.0
2023-07-27 12:15:00,880.0
2023-07-27 12:20:00,758.0
2023-07-27 12:25:00,1100.0
2023-07-27 12:30:00,992.0
2023-07-27 12:35:00,823.0
2023-07-27 12:40:00,1212.0
2023-07-27 12:45:00,1380.0
2023-07-27 12:50:00,1088.0
2023-07-27 12:55:00,1454.0
2023-07-27 13:00:00,1100.0
2023-07-27 13:05:00,1026.0
2023-07-27 13:10:00,1008.0
2023-07-27 13:15:00,982.0
2023-07-27 13:20:00,1112.0
2023-07-27 13:25:00,1250.0
2023-07-27 13:30:00,1099.0
2023-07-27 13:35:00,1198.0
2023-07-27 13:40:00,1391.0
2023-07-27 13:45:00,1160.0
2023-07-27 13:50:00,1076.0
2023-07-27 13:55:00,1748.0
2023-07-27 14:00:00,1242.0
2023-07-27 14:05:00,1094.0
2023-07-27 14:10:00,1292.0
2023-07-27 14:15:00,1350.0
2023-07-27 14:20:00,1480.0
2023-07-27 14:25:00,1667.0
2023-07-27 14:30:00,1378.0
2023-07-27 14:35:00,1298.0
2023-07-27 14:40:00,1200.0
2023-07-27 14:45:00,1250.0
2023-07-27 14:50:00,1140.0
2023-07-27 14:55:00,1294.0
2023-07-27 15:00:00,1162.0
2023-07-27 15:05:00,1162.0
2023-07-27 15:10:00,1370.0
2023-07-27 15:15:00,1262.0
2023-07-27 15:20:00,1340.0
2023-07-27 15:25:00,1378.0
2023-07-27 15:30:00,1386.0
2023-07-27 15:35:00,1266.0
2023-07-27 15:40:00,1418.0
2023-07-27 15:45:00,1216.0
2023-07-27 15:50:00,1166.0
2023-07-27 15:55:00,1394.0
2023-07-27 16:00:00,1438.0
2023-07-27 16:05:00,1522.0
2023-07-27 16:10:00,1453.0
2023-07-27 16:15:00,1246.0
2023-07-27 16:20:00,1400.0
2023-07-27 16:25:00,1314.0
2023-07-27 16:30:00,1122.0
2023-07-27 16:35:00,1136.0
2023-07-27 16:40:00,1178.0
2023-07-27 16:45:00,1162.0
2023-07-27 16:50:00,1320.0
2023-07-27 16:55:00,1424.0
2023-07-27 17:00:00,1390.0
2023-07-27 17:05:00,1382.0
2023-07-27 17:10:00,1506.0
2023-07-27 17:15:00,1468.0
2023-07-27 17:20:00,1514.0
2023-07-27 17:25:00,1306.0
2023-07-27 17:30:00,1164.0
2023-07-27 17:35:00,1324.0
2023-07-27 17:40:00,1302.0
2023-07-27 17:45:00,1492.0
2023-07-27 17:50:00,1294.0
2023-07-27 17:55:00,1194.0
2023-07-27 18:00:00,1084.0
2023-07-27 18:05:00,1142.0
2023-07-27 18:10:00,1302.0
2023-07-27 18:15:00,944.0
2023-07-27 18:20:00,1228.0
2023-07-27 18:25:00,1260.0
2023-07-27 18:30:00,1296.0
2023-07-27 18:35:00,1316.0
2023-07-27 18:40:00,1242.0
2023-07-27 18:45:00,1232.0
2023-07-27 18:50:00,1312.0
2023-07-27 18:55:00,1420.0
2023-07-27 19:00:00,1108.0
2023-07-27 19:05:00,882.0
2023-07-27 19:10:00,1262.0
2023-07-27 19:15:00,1115.0
2023-07-27 19:20:00,1542.0
2023-07-27 19:25:00,1676.0
2023-07-27 19:30:00,1270.0
2023-07-27 19:35:00,1334.0
2023-07-27 19:40:00,1276.0
2023-07-27 19:45:00,1234.0
2023-07-27 19:50:00,1286.0
2023-07-27 19:55:00,1670.0
2023-07-27 20:00:00,1214.0
2023-07-27 20:05:00,1204.0
2023-07-27 20:10:00,1236.0
2023-07-27 20:15:00,992.0
2023-07-27 20:20:00,1070.0
2023-07-27 20:25:00,1268.0
2023-07-27 20:30:00,1012.0
2023-07-27 20:35:00,1238.0
2023-07-27 20:40:00,1252.0
2023-07-27 20:45:00,1288.0
2023-07-27 20:50:00,1438.0
2023-07-27 20:55:00,1422.0
2023-07-27 21:00:00,1370.0
2023-07-27 21:05:00,1258.0
2023-07-27 21:10:00,1532.0
2023-07-27 21:15:00,1474.0
2023-07-27 21:20:00,1244.0
2023-07-27 21:25:00,1186.0
2023-07-27 21:30:00,1121.0
2023-07-27 21:35:00,1024.0
2023-07-27 21:40:00,1112.0
2023-07-27 21:45:00,1070.0
2023-07-27 21:50:00,1122.0
2023-07-27 21:55:00,1148.0
2023-07-27 22:00:00,1162.0
2023-07-27 22:05:00,1120.0
2023-07-27 22:10:00,1086.0
2023-07-27 22:15:00,926.0
2023-07-27 22:20:00,1112.0
2023-07-27 22:25:00,1516.0
2023-07-27 22:30:00,1418.0
2023-07-27 22:35:00,1314.0
2023-07-27 22:40:00,1686.0
2023-07-27 22:45:00,984.0
2023-07-27 22:50:00,932.0
2023-07-27 22:55:00,1176.0
2023-07-27 23:00:00,954.0
2023-07-27 23:05:00,856.0
2023-07-27 23:10:00,1146.0
2023-07-27 23:15:00,868.0
2023-07-27 23:20:00,960.0
2023-07-27 23:25:00,1108.0
2023-07-27 23:30:00,1048.0
2023-07-27 23:35:00,936.0
2023-07-27 23:40:00,934.0
2023-07-27 23:45:00,836.0
2023-07-27 23:50:00,788.0
2023-07-27 23:55:00,998.0
2023-07-28 00:00:00,940.0
2023-07-28 00:05:00,766.0
2023-07-28 00:10:00,882.0
2023-07-28 00:15:00,770.0
2023-07-28 00:20:00,820.0
2023-07-28 00:25:00,816.0
2023-07-28 00:30:00,872.0
2023-07-28 00:35:00,876.0
2023-07-28 00:40:00,874.0
2023-07-28 00:45:00,698.0
2023-07-28 00:50:00,730.0
2023-07-28 00:55:00,836.0
2023-07-28 01:00:00,836.0
2023-07-28 01:05:00,956.0
2023-07-28 01:10:00,986.0
2023-07-28 01:15:00,850.0
2023-07-28 01:20:00,978.0
2023-07-28 01:25:00,1042.0
2023-07-28 01:30:00,712.0
2023-07-28 01:35:00,882.0
2023-07-28 01:40:00,1014.0
2023-07-28 01:45:00,686.0
2023-07-28 01:50:00,670.0
2023-07-28 01:55:00,820.0
2023-07-28 02:00:00,558.0
2023-07-28 02:05:00,656.0
2023-07-28 02:10:00,654.0
2023-07-28 02:15:00,508.0
2023-07-28 02:20:00,578.0
2023-07-28 02:25:00,764.0
2023-07-28 02:30:00,656.0
2023-07-28 02:35:00,814.0
2023-07-28 02:40:00,976.0
2023-07-28 02:45:00,482.0
2023-07-28 02:50:00,562.0
2023-07-28 02:55:00,612.0
